influx tag,"Antenna
name",Cosmic ray subarray,"Antenna
type",Latitude ITRF2000(1997.0),Longitude  ITRF2000(1997.0),Elevation (meters HAE),X (m),Y (m),"Used in
LWA-352",Online,Pol A FEE #,Pol B FEE #,Pol A Ant cable status,Pol B Ant cable status,"ARX board
location #",ARX Serial Number,ARX board address,"Pol A ARX
channel #",,"Pol B ARX
channel #",,"SNAP2
board ID","SNAP2
chassis #","SNAP2
location #",SNAP2 MAC Address,"SNAP2
hostname",FMC #,"Pol A digitizer
channel #","Pol B digitizer
channel #",Pol A FPGA Input #,Pol B FPGA Input #,Correlator number,Notes,,,
dict_key,antname,,ant_type,latitude,longitude,elevation,x,y,used,online,pola_fee,polb_fee,pola_resistance,polb_resistance,arx_location,arx_serial,arx_address,pola_arx_channel,check1,polb_arx_channel,check2,snap2_serial,snap2_chassis,snap2_location,snap2_mac,snap2_hostname,fmc,pola_digitizer_channel,polb_digitizer_channel,pola_fpga_num,polb_fpga_num,corr_num,notes,,,
,LWA-065,I,Coaxial,37.2406678,-118.2813532,1182.95,27.82,98.83,YES,YES,0137,0189,OK,OK,25,31,25,7,2507,8,2508,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,8,9,10,11,165,FEE installed 11/02/2021,,,
,LWA-107,H,Coaxial,37.24002833,-118.2815436,1182.63,10.92,27.86,YES,YES,0401,0216,OK,OK,28,18,28,15,2815,16,2816,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,8,9,10,11,197,FEE installed on 11/04/2021,,,
,LWA-128,B,Coaxial,37.23890873,-118.2816578,1182.67,0.79,-96.39,YES,YES,0505,0640,OK,OK,32,20,32,9,3209,10,3210,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,8,9,10,11,229,FEE installed on 11/04/2021,,,
,LWA-138,F,Coaxial,37.24014522,-118.2817778,1182.55,-9.86,40.84,YES,YES,0510,0275,OK,OK,35,29,35,13,3513,14,3514,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,8,9,10,11,261,FEE installed on 11/04/2021,,,
,LWA-175,D,Coaxial,37.23980711,-118.2820139,1182.95,-30.81,3.31,YES,YES,0502,0277,OK,OK,39,44,39,3,3903,4,3904,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,8,9,10,11,293,FEE installed on 11/03/2021,,,
,LWA-176,E,Coaxial,37.23973347,-118.281979,1182.87,-27.71,-4.86,YES,YES,0431,0649,OK,OK,42,47,42,9,4209,10,4210,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,8,9,10,11,325,FEE installed 6/2022,,,
,LWA-263,K,Fiber,37.23617701,-118.2848647,1182.09,-283.78,-399.57,YES,YES,162,687,,,5,4101,5,7,507,8,508,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,8,9,10,11,37,,,,
,LWA-269,J,Fiber,37.24480176,-118.2801158,1183.77,137.60,557.63,YES,YES,131,648,,,1,4102,1,9,109,10,110,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,8,9,10,11,5,,,,
,LWA-009,G,Coaxial,37.23999323,-118.280877,1182.63,70.07,23.97,YES,YES,0191,0317,OK,OK,16,39,16,1,1601,2,1602,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,14,15,12,13,70,FEE installed 10/28/2021,,,
,LWA-020,A,Coaxial,37.23962929,-118.2807869,1182.64,78.06,-16.42,YES,YES,0206,1383,OK,OK,19,35,19,5,1905,6,1906,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,14,15,12,13,102,FEE installed 10/29/2021,,,
,LWA-057,C,Coaxial,37.23938938,-118.2811745,1182.35,43.67,-43.05,YES,YES,0471,0247,OK,OK,22,30,22,9,2209,10,2210,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,14,15,12,13,134,FEE installed 11/03/2021,,,
